model,parameters,n_training_seeds,epochs_min,epochs_median,epochs_max,fit_and_validation_seconds_median,outer_evaluation_seconds_median,subset_evaluation_seconds_median,peak_allocated_gpu_gib_max,recorded_fit_validation_evaluation_seconds_sum
qmmf,1221465,3,120,120.0,120,4195.39497856,252.54665603800004,682.3212998070003,1.3471002578735352,15373.499838616
no_quality,1220569,3,120,120.0,120,4149.209422549,263.0877884799993,698.0176291600001,1.3470778465270996,15328.398941401
shuffled_quality,1221465,3,120,120.0,120,4210.853928495999,263.9865852469993,702.6083456040033,1.3471002578735352,15504.291812812997
matched_moment_fusion,1227977,3,120,120.0,120,3624.324873841,230.11959144900172,607.0433621499978,1.18800687789917,13362.752779528
no_variance,1183769,3,120,120.0,120,4093.407799759001,253.0661372470004,657.0647673830008,1.0879497528076172,15012.998826295
no_max,1183769,3,120,120.0,120,4146.034989242,250.985467212,663.7389687760005,1.2834415435791016,15208.060905422
no_consistency,1221465,3,120,120.0,120,4169.352042913002,271.00834132199816,703.0874247089996,1.3316020965576172,15459.316308107003
hemis,881395,3,120,120.0,120,3940.5469497210006,228.39138833000013,539.469430393,0.7460660934448242,14104.380404765998
unet25d,884299,3,120,120.0,120,3758.3145062959993,201.07471307300148,541.9923082580008,0.4207096099853515,13522.224073866
